participant_id	spmcomcor.exclude	spmgsr.exclude	rabies.exclude	di1.exclude	di2.exclude	easymribrain.exclude	aidamri.exclude	liming.exclude	global.exclude
sub-300801	1	1	0	1	0	1	0	1	0
sub-300802	1	1	0	1	0	1	0	1	0
sub-300803	1	1	0	1	0	1	0	1	0
sub-300804	1	1	0	1	0	1	0	1	0
sub-300805	1	1	0	1	0	1	0	1	0
sub-300806	1	1	0	1	0	1	0	1	0
sub-300807	1	1	0	1	0	1	0	1	0
sub-300808	1	1	0	1	0	1	0	1	0
sub-300809	1	1	0	1	0	1	0	1	0
sub-300900	1	1	1	1	1	1	1	1	1
sub-300901	1	1	1	1	1	1	1	1	1
sub-300902	1	1	1	1	1	1	0	1	0
sub-300903	1	1	1	1	1	1	0	1	0
sub-300904	1	1	1	1	1	1	1	1	1
sub-300905	1	1	1	1	1	1	1	1	1
sub-300906	1	1	1	1	1	1	1	1	1
sub-300907	1	1	1	1	1	1	1	1	1
sub-300908	1	1	1	1	1	1	0	1	0
sub-300909	1	1	1	1	1	1	0	1	0
sub-301000	1	1	1	1	1	1	1	1	1
sub-301001	1	1	1	1	1	1	1	1	1
sub-301002	1	1	1	1	1	1	1	1	1
sub-301003	1	1	1	1	1	1	1	1	1
sub-301004	1	1	1	1	1	1	0	1	0
sub-301005	1	1	1	1	1	1	1	1	1
sub-301006	1	1	1	1	1	1	1	1	1
sub-301007	1	1	1	1	1	1	1	1	1
sub-301008	1	1	1	1	1	1	0	1	0
sub-301009	1	1	1	1	1	1	1	1	1
sub-301100	1	1	1	1	1	1	1	1	1
sub-301101	1	1	1	1	1	1	1	1	1
sub-301102	1	1	1	1	1	1	1	1	1
sub-301103	1	1	1	1	1	1	0	1	0
sub-301104	1	1	1	1	1	1	0	1	0
sub-301105	1	1	1	1	1	1	1	1	1
sub-301106	1	1	1	0	1	1	1	1	0
sub-301107	1	1	1	1	1	1	0	1	0
sub-301108	1	1	1	1	1	1	0	1	0
sub-301109	1	1	1	1	1	1	1	1	1
sub-301200	1	1	1	1	1	1	1	1	1
sub-301201	1	1	1	1	1	1	1	1	1
sub-301202	1	1	1	1	1	1	1	1	1
sub-301203	1	1	1	1	1	1	0	1	0
sub-301204	1	1	1	1	1	1	0	1	0
sub-301205	1	1	1	1	1	1	1	1	1
sub-301206	1	1	1	1	1	1	1	1	1
sub-301207	1	1	1	1	1	1	1	1	1
sub-301208	1	1	1	1	1	1	0	1	0
sub-301209	1	1	1	1	1	1	1	1	1
sub-301300	1	1	1	1	1	1	1	1	1
sub-301301	1	1	1	1	1	1	1	1	1
sub-301302	1	1	1	1	1	1	1	1	1
sub-301303	1	1	1	1	1	1	1	1	1
sub-301304	1	1	1	1	1	1	1	1	1
sub-301305	1	1	1	1	1	1	1	1	1
sub-301306	1	1	1	1	1	1	1	1	1
sub-301307	1	1	1	1	1	1	1	1	1
sub-301308	1	1	1	1	1	1	1	1	1
sub-301309	1	1	1	1	1	1	0	1	0
sub-301400	1	1	1	1	1	1	1	1	1
sub-301401	1	1	1	1	1	1	1	1	1
