participant_id	liming_nordic.specificity	liming_nordic.s1	liming_nordic.aca	roam_nordic.specificity	roam_nordic.s1	roam_nordic.aca	rabies_icaaroma_nordic.specificity	rabies_icaaroma_nordic.s1	rabies_icaaroma_nordic.aca	ednixgd_nordic.specificity	ednixgd_nordic.s1	ednixgd_nordic.aca	ednixgsr_nordic.specificity	ednixgsr_nordic.s1	ednixgsr_nordic.aca	zipp_nordic.specificity	zipp_nordic.s1	zipp_nordic.aca
sub-300506	spurious	0.58502	0.32349	specific	0.43948	0.00426	specific	0.32152	0.0345	spurious	0.1833	0.1625	spurious	0.19028	0.14671	specific	0.32393	0.06961
sub-300507	spurious	0.5017	0.32863	specific	0.19456	0.00596	specific	0.36056	0.08822	specific	0.19556	0.0327	specific	0.20025	0.06296	specific	0.15056	0.04306
sub-300508	spurious	0.64975	0.33226	specific	0.2681	0.0395	no	0.04817	-0.04342	spurious	0.40011	0.17688	spurious	0.38984	0.16616	spurious	0.56833	0.18509
sub-300509	specific	0.27618	0.07149	spurious	0.5166	0.20471	specific	0.18134	0.02439	specific	0.16198	0.06792	specific	0.17554	0.07434	specific	0.24985	-0.08013
sub-300600	spurious	0.18486	0.29139	specific	0.30957	0.09617	no	0.08431	-0.04182	NA	NA	NA	NA	NA	NA	spurious	0.2358	0.17129
sub-300601	spurious	0.59119	0.16331	specific	0.41428	0.08901	specific	0.2034	0.0404	NA	NA	NA	NA	NA	NA	specific	0.51329	0.02434
sub-300602	spurious	0.5439	0.18987	spurious	0.65339	0.2895	specific	0.49729	0.02258	NA	NA	NA	NA	NA	NA	spurious	0.82453	0.10727
sub-300603	spurious	0.56819	0.31303	no	-0.04728	-0.01083	specific	0.21597	-0.03231	NA	NA	NA	NA	NA	NA	spurious	0.59135	0.25145
sub-300604	spurious	0.67735	0.44661	NA	NA	NA	no	0.05991	0.03319	NA	NA	NA	NA	NA	NA	spurious	0.69806	0.46131
sub-300605	spurious	0.37463	0.23009	spurious	0.28964	0.11218	specific	0.11736	-0.01362	NA	NA	NA	NA	NA	NA	spurious	0.5711	0.20849
